"Text","Tag","Extra"
"\(a^{-n} = {{c1::\frac{1}{a^n} }}\)（a ≠ 0）","指数","負の指数は「分母に回す」という意味です。
a⁻ⁿ = 1/aⁿ なので、a³ の逆は 1/a³。
条件：a ≠ 0（0で割れない）"
"\(a^0 = {{c1::1 }}\)（a ≠ 0）","指数","どんな数でも、0乗は1になります。
例：5⁰ = 1、(-3)⁰ = 1。
条件：a ≠ 0（0⁰は定義しない）"
"\(a^{\frac{1}{2}} = {{c1::\sqrt{a} }}\)（a ≥ 0）","指数","指数 1/2 は平方根（√）と同じ意味です。
a^(1/2) = √a なので、4^(1/2) = 2。
条件：a ≥ 0（実数の平方根は非負）"
"\(a^m \cdot a^n = {{c1::a^{m+n} }}\)（a>0）","指数","同じ底の掛け算は、指数を足します。
a² × a³ = a⁵ のように、指数だけ計算。
条件：a > 0（負の底は別扱いになることがある）"
"\((a^m)^n = {{c1::a^{mn} }}\)（a>0）","指数","指数の外側にさらに指数が付くときは、掛け算します。
(a²)³ = a⁶ のように、2×3 = 6。
条件：a > 0"
"\((ab)^n = {{c1::a^n b^n }}\)（a>0,, b>0）","指数","積のn乗は、それぞれのn乗の積にできます。
(2×3)² = 2² × 3² = 4×9 = 36。
条件：a > 0, b > 0"
"\(\frac{a^m}{a^n} = {{c1::a^{m-n} }}\)（a>0）","指数","同じ底の割り算は、指数を引きます。
a⁵ ÷ a² = a³ のように、5−2 = 3。
条件：a > 0"
"\(\sqrt[n]{b^m} = {{c1::b^{\frac{m}{n}} }}\)（b>0。n が偶数なら被開方数 ≥ 0）","指数","n乗根は分数指数に直せます。
³√b² = b^(2/3) のように、根号の外と中を分数で表す。
条件：b > 0（nが偶数なら被開方数 ≥ 0）"
"\(\sqrt{(-6)^2} = {{c1::6 }}\)（偶数乗根の注意）","指数","平方根は「絶対値」として答えるのが正しい。
√((-6)²) = √36 = 6（-6ではない）。
偶数乗根は常に非負の答えになる"
"\(\sqrt[3]{-27} = {{c1::-3 }}\)（奇数乗根は負の数も取れる）","指数","奇数乗根は負の数も取れます。
³√(-27) = -3（(-3)³ = -27）。
偶数乗根と違い、符号がそのまま残る"
"\(a^x = b \;\Leftrightarrow\; x = {{c1::\log_a b }}\)（a>0,, a ≠ 1,, b>0）","対数","対数は「指数の逆操作」です。
aˣ = b なら x = logₐ b（aを何乗すればbか）。
条件：a > 0, a ≠ 1, b > 0"
"\(\log_a(bc) = {{c1::\log_a b + \log_a c }}\)（a>0,, a≠ 1,, b>0,, c>0）","対数","対数の積は、対数の和に分けられます。
log₂(8×4) = log₂8 + log₂4 = 3 + 2 = 5。
条件：底・真数はすべて正、底 ≠ 1"
"\(\log_a\!\left(\frac{b}{c}\right) = {{c1::\log_a b - \log_a c }}\)（a>0,, a≠ 1,, b>0,, c>0）","対数","対数の商は、対数の差になります。
log₃(27/9) = log₃27 − log₃9 = 3 − 2 = 1。
条件：底・真数はすべて正、底 ≠ 1"
"\(\log_a(b^n) = {{c1::n \log_a b }}\)（a>0,, a≠ 1,, b>0）","対数","対数の中の指数は、外に出せます。
log₂(8³) = 3 log₂8 = 3×3 = 9。
条件：底・真数はすべて正、底 ≠ 1"
"\(\log_a b = \frac{\log_c b}{{{c1::\log_c a} }}\)（底の変換。a>0,, a≠ 1,, b>0,, c>0,, c≠ 1,, a≠ c）","対数","底を変えても値は同じ。共通の底cで割る形にします。
log₂8 = log₁₀8 ÷ log₁₀2 のように使う。
条件：a, b, c > 0、各底 ≠ 1、a ≠ c"
"\(\log_a a = {{c1::1 }}\)（a>0,, a≠ 1）","対数","底と真数が同じなら、対数は1です。
log₅5 = 1（5¹ = 5）。
条件：a > 0, a ≠ 1"
"\(\log_a 1 = {{c1::0 }}\)（a>0,, a≠ 1）","対数","1の対数は、どんな底でも0です。
a⁰ = 1 だから logₐ1 = 0。
条件：a > 0, a ≠ 1"
"\(\log_{10} 100 = {{c1::2 }}\)（常用対数）","対数","常用対数 log₁₀ は10を何乗すれば…という意味。
log₁₀100 = 2（10² = 100）。
電卓の「log」ボタンがこれ"
"\(10^n\)（n は0以上の整数）の桁数は {{c1::n+1}} 桁","対数","10のn乗の桁数は n+1 桁です。
10³ = 1000 → 4桁、10⁰ = 1 → 1桁。
条件：n は0以上の整数"
"\(N \geq 1\) の正の実数 N の桁数は [\log_{10} N] + {{c1::1 }}（[, ] はガウス記号）","対数","任意の正の数Nの桁数は [log₁₀N] + 1。
例：N=500 → log₁₀500≈2.7 → [2.7]+1=3桁。
[ ]はガウス記号（小数点以下切り捨て）"
"\(\tan\theta = {{c1::\frac{\sin\theta}{\cos\theta} }}\)（cosθ ≠ 0）","三角関数","tanは sin÷cos の比です。
tanθ = sinθ/cosθ で、直角三角形の対辺÷隣辺。
条件：cosθ ≠ 0（θ = π/2 + nπ で未定義）"
"\(y = \tan\theta\) の定義域：θ ≠ {{c1::π/2 + nπ }}（n は整数）","三角関数","tanは cosが0になると発散します。
定義域：θ ≠ π/2 + nπ（nは整数）。
縦漸近線が π/2, 3π/2, … にある"
"\(\sin(-\theta) = {{c1::-\sin\theta }}\)（奇関数）","三角関数","sinは奇関数：符号が反転します。
sin(-θ) = −sinθ、グラフは原点対称。
例：sin(-30°) = −sin30° = −1/2"
"\(\cos(-\theta) = {{c1::\cos\theta }}\)（偶関数）","三角関数","cosは偶関数：符号は変わりません。
cos(-θ) = cosθ、グラフはy軸対称。
例：cos(-60°) = cos60° = 1/2"
"\(\tan(-\theta) = {{c1::-\tan\theta }}\)（奇関数）","三角関数","tanも奇関数です。
tan(-θ) = −tanθ、sinと同様に符号が反転。
例：tan(-45°) = −1"
"\(y = \sin(k\theta)\) の周期は {{c1::\frac{2π}{k} }}（k>0）","三角関数","y = sin(kθ) の周期は 2π/k です。
kが大きいほど波が細かく、周期は短くなる。
条件：k > 0"
"\(y = \cos(k\theta)\) の周期は {{c1::\frac{2π}{k} }}（k>0）","三角関数","y = cos(kθ) の周期も 2π/k です。
sinと同じ周期の考え方。
条件：k > 0"
"\(y = \tan(k\theta)\) の周期は {{c1::\frac{π}{k} }}（k>0）","三角関数","y = tan(kθ) の周期は π/k です。
tanはsin/cosより周期が半分（π）なので、sinの半分になる。
条件：k > 0"
"\(y = A\sin\theta\) の振幅は {{c1::|A| }}","三角関数","振幅は波の「高さの半分」です。
y = A sinθ の振幅は |A|（Aが負でも高さは|A|）。
例：y = −3sinθ の振幅も3"
"\(y = \sin(\theta - a)\) のグラフは y = sinθ を θ 軸方向に {{c1::+a}} だけ平行移動したもの","三角関数","y = sin(θ − a) は右にaだけ平行移動。
位相（しばすう）a > 0 ならグラフは右へずれる。
「θ − a」なので +a 方向にシフト"
"\(\sin(\alpha + \beta) = {{c1::\sin\alpha\cos\beta + \cos\alpha\sin\beta }}\)","加法定理","sinの加法定理：角度の和のsinを展開します。
sin(α+β) = sinα cosβ + cosα sinβ。
覚え方：sinは「同じ符号で＋」"
"\(\sin(\alpha - \beta) = {{c1::\sin\alpha\cos\beta - \cos\alpha\sin\beta }}\)","加法定理","sinの加法定理（差の形）。
sin(α−β) = sinα cosβ − cosα sinβ。
＋のときは＋、−のときは−で符号が変わる"
"\(\cos(\alpha + \beta) = {{c1::\cos\alpha\cos\beta - \sin\alpha\sin\beta }}\)","加法定理","cosの加法定理：角度の和のcosを展開します。
cos(α+β) = cosα cosβ − sinα sinβ。
覚え方：cosは「符号が交互に−」"
"\(\cos(\alpha - \beta) = {{c1::\cos\alpha\cos\beta + \sin\alpha\sin\beta }}\)","加法定理","cosの加法定理（差の形）。
cos(α−β) = cosα cosβ + sinα sinβ。
＋のとき中の−が＋に、−のとき＋が−に"
"\(\tan(\alpha + \beta) = \frac{\tan\alpha + \tan\beta}{{{c1::1 - \tan\alpha\tan\beta} }}\)（α+β ≠ π/2+nπ）","加法定理","tanの加法定理。分子は足し算、分母は引き算。
tan(α+β) = (tanα + tanβ)/(1 − tanα tanβ)。
条件：α+β ≠ π/2 + nπ"
"\(\sin 2\theta = {{c1::2\sin\theta\cos\theta }}\)（倍角の公式）","倍角","倍角の公式：sin2θ = 2 sinθ cosθ。
加法定理で β=θ とすると導けます。
例：sin60° = 2×(1/2)×(√3/2) = √3/2"
"\(\cos 2\theta = {{c1::\cos^2\theta - \sin^2\theta }}\)（倍角の公式・第1形）","倍角","cos2θの第1形：cos²θ − sin²θ。
加法定理 cos(θ+θ) から導出。
他の形に変形するときの出発点"
"\(\cos 2\theta = {{c1::2\cos^2\theta - 1 }}\)（倍角の公式・第2形）","倍角","cos2θの第2形：2cos²θ − 1。
cos²θ − sin²θ に sin²θ = 1−cos²θ を代入。
cosだけで表したいとき便利"
"\(\cos 2\theta = {{c1::1 - 2\sin^2\theta }}\)（倍角の公式・第3形）","倍角","cos2θの第3形：1 − 2sin²θ。
sin²θ = 1−cos²θ を代入した形。
sinだけで表したいとき便利"
"\(\tan 2\theta = \frac{2\tan\theta}{{{c1::1 - \tan^2\theta} }}\)（倍角の公式。2θ ≠ π/2+nπ）","倍角","tan2θ = 2tanθ/(1 − tan²θ)。
tanの加法定理で β=θ とした倍角形。
条件：2θ ≠ π/2 + nπ"
"\(\sin^2\frac{\theta}{2} = {{c1::\frac{1 - \cos\theta}{2} }}\)（半角の公式）","半角","半角の公式：sin²(θ/2) = (1 − cosθ)/2。
cos2θ = 1 − 2sin²θ から θ を θ/2 に置き換えた形。
積分や降べきに使う"
"\(\cos^2\frac{\theta}{2} = {{c1::\frac{1 + \cos\theta}{2} }}\)（半角の公式）","半角","半角の公式：cos²(θ/2) = (1 + cosθ)/2。
cos2θ = 2cos²θ − 1 から導出。
sin²(θ/2)とセットで覚える"
"\(a\sin\theta + b\cos\theta = R\sin(\theta + \alpha)\) において R = {{c1::\sqrt{a^2 + b^2} }}","合成","合成：a sinθ + b cosθ = R sin(θ+α) の R。
R = √(a² + b²) は振幅（最大値）。
例：3sinθ + 4cosθ → R = 5"
"\(a\sin\theta + b\cos\theta = R\sin(\theta + \alpha)\) において tanα = {{c1::\frac{b}{a} }}（a>0,, a≠ 0）","合成","合成の位相α：tanα = b/a。
a > 0 のとき α は第1・4象限の角。
R sin(θ+α) に直すと最大・最小がわかりやすい"
"\(\sin\alpha\cos\beta = \frac{1}{2}\bigl[\sin(\alpha+\beta) + {{c1::\sin(\alpha-\beta)}}\bigr]\)（積和の公式）","積和","積→和：sinα cosβ を和に直す公式。
sinα cosβ = ½[sin(α+β) + sin(α−β)]。
積の形を和に変えると計算が楽になる"
"\(\cos\alpha\cos\beta = \frac{1}{2}\bigl[\cos(\alpha+\beta) + {{c1::\cos(\alpha-\beta)}}\bigr]\)（積和の公式）","積和","積→和：cosα cosβ の公式。
cosα cosβ = ½[cos(α+β) + cos(α−β)]。
sinα cosβ と似ているが cos 同士"
"\(\sin\alpha\sin\beta = -\frac{1}{2}\bigl[\cos(\alpha+\beta) - {{c1::\cos(\alpha-\beta)}}\bigr]\)（積和の公式）","積和","積→和：sinα sinβ の公式（マイナスに注意）。
sinα sinβ = −½[cos(α+β) − cos(α−β)]。
符号の−を忘れないこと"
"\(\sin A + \sin B = 2\sin\frac{A+B}{2}{{c1::\cos\frac{A-B}{2} }}\)（和積の公式）","和積","和→積：sinA + sinB を積に。
sinA + sinB = 2 sin((A+B)/2) cos((A−B)/2)。
「和のsin、差のcos」の形"
"\(\sin A - \sin B = 2\cos\frac{A+B}{2}{{c1::\sin\frac{A-B}{2} }}\)（和積の公式）","和積","和→積：sinA − sinB を積に。
sinA − sinB = 2 cos((A+B)/2) sin((A−B)/2)。
＋のときcos、−のときsinが差の側"
"\(\cos A + \cos B = 2\cos\frac{A+B}{2}{{c1::\cos\frac{A-B}{2} }}\)（和積の公式）","和積","和→積：cosA + cosB を積に。
cosA + cosB = 2 cos((A+B)/2) cos((A−B)/2)。
両方cosの積になる"
"\(\cos A - \cos B = -2\sin\frac{A+B}{2}{{c1::\sin\frac{A-B}{2} }}\)（和積の公式）","和積","和→積：cosA − cosB を積に（符号注意）。
cosA − cosB = −2 sin((A+B)/2) sin((A−B)/2)。
先頭の−2を忘れない"
"\(\sin^2\theta + \cos^2\theta = {{c1::1 }}\)（基本恒等式）","三角関数","最も基本の三角恒等式。
sin²θ + cos²θ = 1（単位円上の座標から導かれる）。
他の公式の土台になる"
"\(1 + \tan^2\theta = {{c1::\frac{1}{\cos^2\theta} }}\)（基本恒等式。cosθ ≠ 0）","三角関数","tanとcosの関係式。
1 + tan²θ = 1/cos²θ（両辺をcos²θで割ると導ける）。
条件：cosθ ≠ 0"
"\(\sin\!\left(\frac{\pi}{2} - \theta\right) = {{c1::\cos\theta }}\)（余角の関係）","三角関数","余角の関係：sin(π/2 − θ) = cosθ。
「90°−θ」と「θ」は余角で、sinとcosが入れ替わる。
例：sin30° = cos60°"
"\(\cos(\pi - \theta) = {{c1::-\cos\theta }}\)（対称性）","三角関数","対称性：cos(π − θ) = −cosθ。
θをπ−θに置くとcosの符号が反転。
例：cos120° = −cos60° = −1/2"
"\(\sin\frac{\pi}{6} = {{c1::\frac{1}{2} }}\)","三角関数","特殊角：sin(π/6) = sin30° = 1/2。
単位円または30-60-90三角形で確認。
暗記の基本値"
"\(\cos\frac{\pi}{3} = {{c1::\frac{1}{2} }}\)","三角関数","特殊角：cos(π/3) = cos60° = 1/2。
cos60° = sin30°（余角の関係）。
√3/2 とセットで覚える"
"\(\tan\frac{\pi}{4} = {{c1::1 }}\)","三角関数","特殊角：tan(π/4) = tan45° = 1。
45°は sin=cos=√2/2 なので比は1。
最も覚えやすい値"
"\(\sin\frac{\pi}{3} = {{c1::\frac{\sqrt{3}}{2} }}\)","三角関数","特殊角：sin(π/3) = sin60° = √3/2。
30-60-90三角形の最長辺の比。
cos30° = 1/2 と対になる"
"\(\cos\frac{\pi}{4} = {{c1::\frac{\sqrt{2}}{2} }}\)","三角関数","特殊角：cos(π/4) = cos45° = √2/2。
sin45°と同じ値（45°は対称）。
1/√2 と同義"
"\(i^2 = {{c1::-1 }}\)（虚数単位）","複素数","虚数単位 i の定義。
i² = −1 なので、i³ = −i、i⁴ = 1 と循環。
実数では解けない方程式のために導入"
"オイラーの公式：\(e^{i\theta} = {{c1::\cos\theta + i\sin\theta }}\)","複素数","オイラーの公式：e^(iθ) = cosθ + i sinθ。
複素数平面で単位円上の点を表す。
極形式と三角関数を結びつける"
"ド・モアブルの定理：\((\cos\theta + i\sin\theta)^n = {{c1::\cos(n\theta) + i\sin(n\theta) }}\)","複素数","ド・モアブルの定理：(cosθ + i sinθ)ⁿ = cos(nθ) + i sin(nθ)。
オイラー公式のn乗版。角度がn倍になる。
(1+i)ⁿ などの計算に使う"
"複素数 \(z = a + bi\) の絶対値は |z| = {{c1::\sqrt{a^2 + b^2} }}","複素数","複素数 z = a + bi の絶対値（大きさ）。
|z| = √(a² + b²)（原点からの距離）。
例：|3+4i| = √(9+16) = 5"
"\(z = a + bi\) の共役複素数は \bar{z} = {{c1::a - bi }}","複素数","共役複素数：実部は同じ、虚部の符号を反転。
z = a+bi なら z̄ = a−bi。
|z|² = z × z̄ の計算に使う"
"極形式：\(z = r(\cos\theta + i\sin\theta)\) のとき r = {{c1::|z| }}、θ は偏角","複素数","極形式 z = r(cosθ + i sinθ) の r。
r = |z|（絶対値）、θは偏角（arg z）。
平面上の「長さ」と「向き」で表す"
"複素数 \(z \neq 0\) の n 乗根（n は2以上の整数）は {{c1::n 個}} 存在する","複素数","0でない複素数のn乗根は必ずn個。
例：z² = 1 なら z = ±1 の2個。
実数と違い、負の数にも複数の根がある"
"\(z^n = w\)（z ≠ 0）の n 乗根は複素数平面上で {{c1::正n角形}} の頂点に並ぶ","複素数","n乗根は複素平面で正n角形の頂点に並ぶ。
中心は原点、半径は |w|^(1/n)。
各頂点の角度は 2π/n ずつずれる"
"\((1 + i)^2 = {{c1::2i }}\)","複素数","計算例：(1 + i)² = 1 + 2i + i² = 1 + 2i − 1 = 2i。
極形式で r=√2, θ=π/4 としても確認できる。
よく出るパターン"
"\(z \cdot \bar{z} = {{c1::|z|^2 }}\)（共役と絶対値の関係）","複素数","z と共役の積は絶対値の2乗。
z × z̄ = |z|²（実数になる）。
例：(3+4i)(3−4i) = 9+16 = 25"
"\(\lim_{x \to 0} \frac{\sin x}{x} = {{c1::1 }}\)（基本極限）","極限","基本極限：lim(x→0) sinx/x = 1。
弧度法で x が小さいとき sinx ≈ x。
多くの三角関数の極限の出発点"
"\(\lim_{x \to 0} \frac{\tan x}{x} = {{c1::1 }}\)（基本極限）","極限","基本極限：lim(x→0) tanx/x = 1。
tanx = sinx/cosx より sinx/x ÷ cosx → 1。
sinx/x と同様に覚える"
"\(\lim_{x \to 0} \frac{1 - \cos x}{x^2} = {{c1::\frac{1}{2} }}\)","極限","lim(x→0) (1−cosx)/x² = 1/2。
1−cosx ≈ x²/2（小さい角の近似）。
分子を sin²x で変形して導くことも多い"
"\(1 - \cos x\) を含む極限では分子・分母に {{c1::1 + cos x }} を掛けて sin^2 x を作る","極限","1−cosx を含む極限の定番テクニック。
分子・分母に (1+cosx) を掛けて sin²x を作る。
(1−cosx)(1+cosx) = sin²x で約分しやすくなる"
"\((\sin x)' = {{c1::\cos x }}\)","微分","微分の基本：(sinx)' = cosx。
sinx を微分すると位相が π/2 進んだ cosx。
合成関数では外側も掛ける"
"\((\cos x)' = {{c1::-\sin x }}\)","微分","微分の基本：(cosx)' = −sinx。
cosx の微分は符号が反転した sinx。
(sin x)' = cos x とセットで覚える"
"\((\tan x)' = {{c1::\frac{1}{\cos^2 x} }}\)（cos x ≠ 0）","微分","微分：(tanx)' = 1/cos²x（= sec²x）。
tanx = sinx/cosx を商の微分で求める。
条件：cosx ≠ 0"
"\((e^x)' = {{c1::e^x }}\)","微分","微分：(eˣ)' = eˣ。
自然指数関数は微分しても自分自身。
最も重要な微分公式のひとつ"
"\((a^x)' = {{c1::a^x \ln a }}\)（a>0,, a ≠ 1）","微分","微分：(aˣ)' = aˣ ln a。
eˣ より ln a が余分に付く（底がeでないため）。
条件：a > 0, a ≠ 1"
"\((\ln x)' = {{c1::\frac{1}{x} }}\)（x>0）","微分","微分：(lnx)' = 1/x。
自然対数の微分は引数の逆数。
条件：x > 0（定義域に注意）"
"\((\log_a x)' = {{c1::\frac{1}{x \ln a} }}\)（x>0）","微分","微分：(logₐx)' = 1/(x ln a)。
lnx の公式に底の変換分 1/ln a が付く。
条件：x > 0"
"\((\sin 2x)' = {{c1::2\cos 2x }}\)（合成関数の微分）","微分","合成関数の微分例：(sin2x)' = 2cos2x。
外側(cos) × 内側(2) = 2cos2x。
「外の微分 × 内の微分」"
"\((\cos 3x)' = {{c1::-3\sin 3x }}\)（合成関数の微分）","微分","合成関数の微分例：(cos3x)' = −3sin3x。
外側(−sin) × 内側(3) = −3sin3x。
符号の−を忘れない"
"\((e^{2x})' = {{c1::2e^{2x} }}\)（合成関数の微分）","微分","合成関数の微分例：(e^(2x))' = 2e^(2x)。
eˣ の微分は eˣ 自身 × 内側2。
指数関数の連鎖律の典型"
"\((\ln 2x)' = {{c1::\frac{1}{x} }}\)（x>0）","微分","合成関数の微分例：(ln2x)' = 1/x。
ln(2x) の内側は2x だが、ln2x = ln2 + lnx なので 1/x。
条件：x > 0"
"\((\sin^2 x)' = {{c1::\sin 2x }}\)（合成関数の微分。2sin xcos x でも可）","微分","合成関数の微分例：(sin²x)' = sin2x。
2sinx cosx と等しい（倍角公式）。
外側2×sin、内側cos を掛ける"
"\((\tan^2 x)' = {{c1::\frac{2\tan x}{\cos^2 x} }}\)","微分","微分：(tan²x)' = 2tanx/cos²x。
tan²x を (tanx)² とみなし合成関数＋(tanx)'。
または sec²x × 2tanx"
"\((x\sin x)' = {{c1::\sin x + x\cos x }}\)（積の微分）","微分","積の微分：(x sinx)' = sinx + x cosx。
(u·v)' = u'v + uv' で u=x, v=sinx。
「前の微分×後＋前×後の微分」"
"\((x^2 e^x)' = {{c1::e^x(x^2 + 2x) }}\)（積の微分）","微分","積の微分：(x²eˣ)' = eˣ(x² + 2x)。
u=x², v=eˣ として計算・整理。
因数分解すると eˣ(x²+2x) の形"
"\((\sin x \cos x)' = {{c1::\cos 2x }}\)（積の微分。cos^2 x - sin^2 x でも可）","微分","積の微分：(sinx cosx)' = cos2x。
直接計算すると cos²x − sin²x も同じ。
倍角公式でまとめられる"
"\(\left(\frac{1}{x}\right)' = {{c1::-\frac{1}{x^2} }}\)（x ≠ 0）","微分","微分：(1/x)' = −1/x²。
x⁻¹ の微分。べき乗の公式 n=−1 の場合。
条件：x ≠ 0"
"\((x^n)' = {{c1::nx^{n-1} }}\)（n は定数、x>0）","微分","微分：(xⁿ)' = nxⁿ⁻¹。
べき乗の最も基本的な公式。
条件：n は定数、実用では x > 0 が安全"
"\((\sin^3 x)' = {{c1::3\sin^2 x \cos x }}\)（合成関数の微分）","微分","合成関数の微分：(sin³x)' = 3sin²x cosx。
(sinx)³ の外側3×(sinx)²、内側cosx。
高次の三角関数でよく使う"
"\(\lim_{x \to \infty}\left(1 + \frac{1}{x}\right)^x = {{c1::e }}\)（自然対数の底）","極限","重要極限：lim(1 + 1/x)ˣ = e（x→∞）。
自然対数の底 e ≈ 2.718… の定義。
複利計算などにも現れる"
"導関数の定義：\(f'(x) = \lim_{h \to 0} \frac{{{c1::f(x+h) - f(x)}}}{h}\)","微分","導関数の定義：f'(x) = lim[h→0] (f(x+h)−f(x))/h。
「変化の割合」の極限が接線の傾き。
すべての微分の理論的な出発点"
"\((\cos^2 x)' = {{c1::-\sin 2x }}\)（合成関数の微分。-2cos xsin x でも可）","微分","合成関数の微分：(cos²x)' = −sin2x。
−2cosx sinx と等しい（倍角公式）。
(sinx²)' と混同しないよう注意"
"\((e^{kx})' = {{c1::ke^{kx} }}\)（k は定数）","微分","合成関数の微分：(e^(kx))' = k e^(kx)。
e^(kx) の内側 kx の微分 k が前に出る。
k は定数（例：k=3 なら 3e^(3x)）"
"\(\lim_{x \to 0} \frac{\sin(ax)}{bx} = {{c1::\frac{a}{b} }}\)（a,, b は定数、b ≠ 0）","極限","極限：lim(x→0) sin(ax)/(bx) = a/b。
sinx/x = 1 を sin(ax)/(ax) に適用した形。
条件：a, b は定数、b ≠ 0"
"\((\sqrt{x})' = {{c1::\frac{1}{2\sqrt{x}} }}\)（x>0）","微分","微分：(√x)' = 1/(2√x)。
x^(1/2) のべき乗公式より (1/2)x^(−1/2)。
条件：x > 0（√xの定義域）"
"\((\log_{10} x)' = {{c1::\frac{1}{x \ln 10} }}\)（x>0）","微分","微分：(log₁₀x)' = 1/(x ln10)。
一般の logₐx に a=10 を代入。
常用対数の微分は ln10 が分母に付く"
